X,movie,total_gross,Critic_Pick,Review_url
230,For Colored Girls,30687468,1,http://www.nytimes.com/2010/11/05/movies/05for.html
231,Identity,30187230,0,http://www.nytimes.com/movie/review?res=9907E5DB163DF936A15757C0A9659C8B63
232,Uncle Drew,29930263,0,http://www.nytimes.com/2018/06/28/movies/uncle-drew-review-kyrie-irving.html
233,Rambo,29918795,0,http://www.nytimes.com/2008/01/25/movies/25ramb.html
234,Gangs of New York,29873147,1,http://www.nytimes.com/movie/review?res=9E06E4D8103DF933A15751C1A9649C8B63
235,The Recruit,29822115,0,http://www.nytimes.com/movie/review?res=9A07E3D71F39F932A05752C0A9659C8B63
236,Sucker Punch,29811118,0,http://www.nytimes.com/2011/03/25/movies/sucker-punch-from-zack-snyder-review.html
237,Catwoman,29776003,0,http://www.nytimes.com/movie/review?res=9804EEDD1E3AF931A15754C0A9629C8B63
238,I Feel Pretty,29620318,0,http://www.nytimes.com/2018/04/19/movies/i-feel-pretty-review-amy-schumer.html
239,Open Range,29317253,0,http://www.nytimes.com/movie/review?res=9F02E1D71630F936A2575BC0A9659C8B63
240,Reign of Fire,29246331,0,http://www.nytimes.com/movie/review?res=9C06E4D81330F931A25754C0A9649C8B63
241,The Prestige,28780742,1,http://www.nytimes.com/2006/10/20/movies/20pres.html
242,Welcome Home Roscoe Jenkins,28738605,0,http://www.nytimes.com/2008/02/08/movies/08rosc.html
243,Krampus,28564085,0,http://www.nytimes.com/2015/12/04/movies/review-in-krampus-the-holiday-involves-a-demonic-santa.html
244,Righteous Kill,28534233,0,http://www.nytimes.com/2008/09/12/movies/12righ.html
245,The Whole Nine Yards,28444377,0,http://www.nytimes.com/movie/review?res=9404EEDC1131F93BA25751C0A9669C8B63
246,Rock of Ages,28418621,0,http://www.nytimes.com/2012/06/15/movies/review-rock-of-ages-a-musical-starring-tom-cruise.html
247,Apocalypto,28209532,0,http://www.nytimes.com/2006/12/08/movies/08apoc.html
248,Miracles from Heaven,27937876,0,http://www.nytimes.com/2016/03/16/movies/review-miracles-from-heaven-starring-jennifer-garner-as-the-mother-of-a-sick-child.html
249,Final Destination 2,27876495,0,http://www.nytimes.com/movie/review?res=9903E4D81F39F932A05752C0A9659C8B63
250,The Beach,27663000,0,http://www.nytimes.com/movie/review?res=9C00EFDE103EF932A25751C0A9669C8B63
251,John Wick,27533170,1,http://www.nytimes.com/2014/10/24/movies/in-john-wick-keanu-reeves-as-an-avenger.html
252,The Crazies,27472164,0,http://www.nytimes.com/2010/02/26/movies/26crazies.html
